Volume ID	Volume Name	Volume Mass
4172	FiberSiPM	1.169e-06
4173	SiBoard	2.33e-06
4174	FiberSiPM	1.169e-06
4175	SiBoard	2.33e-06
4176	Fiber	0.00260055
4177	FiberSiPM	1.169e-06
4178	SiBoard	2.33e-06
4179	FiberSiPM	1.169e-06
4180	SiBoard	2.33e-06
4181	Fiber	0.00260055
4182	FiberSiPM	1.169e-06
4183	SiBoard	2.33e-06
4184	FiberSiPM	1.169e-06
4185	SiBoard	2.33e-06
4186	Fiber	0.00260055
4187	FiberSiPM	1.169e-06
4188	SiBoard	2.33e-06
4189	FiberSiPM	1.169e-06
4190	SiBoard	2.33e-06
4191	Fiber	0.00260055
4192	FiberSiPM	1.169e-06
4193	SiBoard	2.33e-06
4194	FiberSiPM	1.169e-06
4195	SiBoard	2.33e-06
4196	Fiber	0.00260055
4197	FiberSiPM	1.169e-06
4198	SiBoard	2.33e-06
4199	FiberSiPM	1.169e-06
4200	SiBoard	2.33e-06
4201	Fiber	0.00260055
4202	FiberSiPM	1.169e-06
4203	SiBoard	2.33e-06
4204	FiberSiPM	1.169e-06
4205	SiBoard	2.33e-06
4206	Fiber	0.00260055
4207	FiberSiPM	1.169e-06
4208	SiBoard	2.33e-06
4209	FiberSiPM	1.169e-06
4210	SiBoard	2.33e-06
4211	Fiber	0.00260055
4212	FiberSiPM	1.169e-06
4213	SiBoard	2.33e-06
4214	FiberSiPM	1.169e-06
4215	SiBoard	2.33e-06
4216	Fiber	0.00260055
4217	FiberSiPM	1.169e-06
4218	SiBoard	2.33e-06
4219	FiberSiPM	1.169e-06
4220	SiBoard	2.33e-06
4221	Fiber	0.00260055
4222	FiberSiPM	1.169e-06
4223	SiBoard	2.33e-06
4224	FiberSiPM	1.169e-06
4225	SiBoard	2.33e-06
4226	Fiber	0.00260055
4227	FiberSiPM	1.169e-06
4228	SiBoard	2.33e-06
4229	FiberSiPM	1.169e-06
4230	SiBoard	2.33e-06
4231	Fiber	0.00260055
4232	FiberSiPM	1.169e-06
4233	SiBoard	2.33e-06
4234	FiberSiPM	1.169e-06
4235	SiBoard	2.33e-06
4236	Fiber	0.00260055
4237	FiberSiPM	1.169e-06
4238	SiBoard	2.33e-06
4239	FiberSiPM	1.169e-06
4240	SiBoard	2.33e-06
4241	Fiber	0.00260055
4242	FiberSiPM	1.169e-06
4243	SiBoard	2.33e-06
4244	FiberSiPM	1.169e-06
4245	SiBoard	2.33e-06
4246	Fiber	0.00260055
4247	FiberSiPM	1.169e-06
4248	SiBoard	2.33e-06
4249	FiberSiPM	1.169e-06
4250	SiBoard	2.33e-06
4251	Fiber	0.00260055
4252	FiberSiPM	1.169e-06
4253	SiBoard	2.33e-06
4254	FiberSiPM	1.169e-06
4255	SiBoard	2.33e-06
4256	Fiber	0.00260055
4257	FiberSiPM	1.169e-06
4258	SiBoard	2.33e-06
4259	FiberSiPM	1.169e-06
4260	SiBoard	2.33e-06
4261	Fiber	0.00260055
4262	FiberSiPM	1.169e-06
4263	SiBoard	2.33e-06
4264	FiberSiPM	1.169e-06
4265	SiBoard	2.33e-06
4266	Fiber	0.00260055
4267	FiberSiPM	1.169e-06
4268	SiBoard	2.33e-06
4269	FiberSiPM	1.169e-06
4270	SiBoard	2.33e-06
4271	Fiber	0.00260055
4272	FiberSiPM	1.169e-06
4273	SiBoard	2.33e-06
4274	FiberSiPM	1.169e-06
4275	SiBoard	2.33e-06
4276	Fiber	0.00260055
4277	FiberSiPM	1.169e-06
4278	SiBoard	2.33e-06
4279	FiberSiPM	1.169e-06
4280	SiBoard	2.33e-06
4281	Fiber	0.00260055
4282	FiberSiPM	1.169e-06
4283	SiBoard	2.33e-06
4284	FiberSiPM	1.169e-06
4285	SiBoard	2.33e-06
4286	Fiber	0.00260055
4287	FiberSiPM	1.169e-06
4288	SiBoard	2.33e-06
4289	FiberSiPM	1.169e-06
4290	SiBoard	2.33e-06
4291	Fiber	0.00260055
4292	FiberSiPM	1.169e-06
4293	SiBoard	2.33e-06
4294	FiberSiPM	1.169e-06
4295	SiBoard	2.33e-06
4296	Fiber	0.00260055
4297	FiberSiPM	1.169e-06
4298	SiBoard	2.33e-06
4299	FiberSiPM	1.169e-06
4300	SiBoard	2.33e-06
4301	Fiber	0.00260055
4302	FiberSiPM	1.169e-06
4303	SiBoard	2.33e-06
4304	FiberSiPM	1.169e-06
4305	SiBoard	2.33e-06
4306	Fiber	0.00260055
4307	FiberSiPM	1.169e-06
4308	SiBoard	2.33e-06
4309	FiberSiPM	1.169e-06
4310	SiBoard	2.33e-06
4311	Fiber	0.00260055
4312	FiberSiPM	1.169e-06
4313	SiBoard	2.33e-06
4314	FiberSiPM	1.169e-06
4315	SiBoard	2.33e-06
4316	Fiber	0.00260055
4317	FiberSiPM	1.169e-06
4318	SiBoard	2.33e-06
4319	FiberSiPM	1.169e-06
4320	SiBoard	2.33e-06
4321	Fiber	0.00260055
4322	FiberSiPM	1.169e-06
4323	SiBoard	2.33e-06
4324	FiberSiPM	1.169e-06
4325	SiBoard	2.33e-06
4326	Fiber	0.00260055
4327	FiberSiPM	1.169e-06
